/*
 * toolboxcss
 * https://github.com/root/temp
 *
 * Copyright (c) 2017 Bartosz Piwek
 * Licensed under the MIT license.
 */

"ml","margin-left"
"mr","margin-right"
"mt","margin-top"
"mb","margin-bottom"
"margin","margin"
"pl","padding-left"
"pr","padding-right"
"pt","padding-top"
"pb","padding-bottom"
"padding","padding"
"fs","font-size"
"bl","border-left"
"br","border-right"
"bt","border-top"
"bb","border-bottom"
"border","border"
"lh","line-height"
"mh","min-height"
"xh","max-height"
"mw","min-width"
"xw","max-width"
"width", "width"
"height", "height"
"ws", "word-spacing"
"ls", "letter-spacing"
